ID,Name,Price,Pumps ,Interior,Restaurant,CarWash,Highway,Intersection,Stoplight,IntersectionStoplight,Gasolines,Competitors,Zipcode,Address,Income
1,Shell,1.79,4,Y,N,N,N,Y,N,Intersection,3,N,78705,3201 N Lamar Blvd,12786
2,Valero,1.83,4,Y,N,N,N,Y,N,Intersection,3,N,78705,3515 N Lamar Blvd,12786
3,7-Eleven,1.88,4,Y,N,N,N,Y,Y,Both,3,Y,78751,5101 N Lamar Blvd,41279
4,Texaco,1.88,4,Y,N,Y,N,Y,Y,Both,4,Y,78751,5301 N Lamar Blvd,41279
5,Shell,1.84,6,Y,N,N,N,Y,Y,Both,3,N,78751,5630 N Lamar Blvd,41279
6,Shell,1.83,8,Y,N,N,N,Y,N,Intersection,3,Y,78752,6301 N Lamar Blvd,37396
7,Gulf,1.79,4,Y,N,N,N,Y,N,Intersection,3,Y,78752,6401 N Lamar Blvd,37396
8,Lamar Corner Store,1.89,2,Y,N,N,N,Y,Y,Both,3,N,78752,7545 N Lamar Blvd,37396
9,Shell,1.89,6,Y,N,N,N,Y,N,Intersection,4,N,78752,6515 Airport Blvd,37396
10,Valero,1.83,6,Y,N,N,N,Y,N,Intersection,3,N,78751,3909 Guadalupe St,41279
11,Chevron,1.85,8,Y,N,N,N,Y,Y,Both,4,N,78705,2819 Guadalupe St,12786
12,7-Eleven,1.97,4,Y,N,N,N,Y,Y,Both,3,N,78705,2600 Guadalupe St,12786
13,Shell,1.97,4,Y,N,N,N,Y,Y,Both,4,N,78705,2400 Rio Grande St,12786
14,7-Eleven,1.95,4,Y,N,N,N,Y,Y,Both,3,N,78701,1814 Guadalupe St,87306
15,Shell,1.75,6,Y,N,N,N,Y,Y,Both,3,N,78702,1901 E Martin Luther King Jr Blvd,37690
16,Shell,1.73,6,Y,N,N,N,Y,Y,Both,3,Y,78722,2204 Airport Blvd,54526
17,Shell,1.75,6,Y,N,N,N,Y,Y,Both,4,Y,78722,3839 Airport Blvd,54526
18,HEB Fuel,1.79,10,N,N,N,N,Y,N,Intersection,4,Y,78723,1801 E 51st St,42615
19,Exxon,1.79,20,Y,N,Y,N,Y,Y,Both,4,Y,78723,1660 E 51st St,42615
20,7-Eleven,1.73,8,Y,N,N,N,Y,Y,Both,4,Y,78722,3848 Airport Blvd,54526
21,Citgo,1.75,4,Y,N,N,N,Y,Y,Both,3,Y,78722,3842 Airport Blvd,54526
22,Phillips 66,1.85,6,Y,N,N,N,Y,Y,Both,4,Y,78702,1149 Airport Blvd,37690
23,Double R Grocery,1.79,4,Y,N,N,N,Y,N,Intersection,4,Y,78702,1149 Airport Blvd,37690
24,Gulf,1.79,4,Y,N,N,N,Y,N,Intersection,3,N,78721,1135 Airport Blvd,36698
25,7-Eleven,1.84,6,Y,N,N,N,Y,Y,Both,4,N,78702,863 Airport Blvd,37690
26,Exxon,1.89,10,Y,Y,N,Y,Y,Y,Both,4,Y,78721,3926 Ed Bluestein Blvd,36698
27,Shell,1.89,8,Y,Y,N,Y,Y,Y,Both,4,Y,78721,6105 Techni Center Dr,36698
28,Exxon,1.89,16,Y,N,N,Y,Y,Y,Both,4,N,78723,6518 Ed Bluestein Blvd,42615
29,Mobil,1.89,4,Y,N,N,N,Y,Y,Both,4,N,78723,3112 Manor Rd,42615
30,Kool Corner,1.79,4,Y,N,N,N,Y,Y,Both,3,N,78723,6413 Manor Rd,42615
31,Gulf,1.79,4,Y,N,N,N,Y,N,Intersection,3,Y,78723,5301 Manor Rd,42615
32,Shell,1.79,4,Y,N,N,N,Y,N,Intersection,4,Y,78723,5210 Manor Rd,42615
33,Conoco,1.79,4,Y,Y,N,N,Y,Y,Both,4,Y,78723,5029 Manor Rd,42615
34,Exxon,1.89,6,Y,N,N,Y,Y,Y,Both,4,Y,78751,4511 Airport Blvd,41279
35,Gulf,1.74,8,Y,N,N,N,Y,N,Intersection,3,N,78722,2101 Manor Rd,54526
36,Chevron,1.92,8,Y,N,N,Y,Y,Y,Both,4,Y,78722,3735 N Interstate 35,54526
37,Shell,1.85,12,Y,N,Y,Y,Y,Y,Both,4,Y,78751,3828 N Interstate 35,41279
38,Shell,1.89,6,Y,N,N,Y,Y,N,Intersection,4,Y,78701,900 N Interstate 35,87306
39,Gulf,1.87,8,Y,N,N,Y,Y,Y,Both,4,Y,78701,717 E 7th St,87306
